time	ntp_time	seq_number	A1	A2	A3	A4	A5	A6	A7	AT	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	B14	B15	BT	D1	D2	D3	D4	D5	D6	D7	DT	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	E13	E14	E15	ET	TempArmário
0.056	2023-05-16 11:49:03	60.0	139.62	167.65	138.56	145.43	108.17	162.74	78.04	25.92	117.98	120.58	61.42	156.68	149.19	158.05	91.13	149.64	30.74	37.27	109.11	114.27	174.82	107.36	104.43	25.65	72.14	156.88	138.45	10.53	66.8	-75.58	302.92	24.78	90.76	74.04	30.97	163.76	135.02	93.21	98.97	70.83	7.362	-57.2	-23.99	58.34	60.39	109.36	333.49	24.75	1525.2
0.058	2023-05-16 11:49:03	60.0	139.62	169.18	138.66	143.62	108.37	162.15	76.67	25.87	117.06	120.27	61.42	155.97	149.59	158.05	92.73	148.24	31.43	38.06	108.91	114.96	174.04	107.94	106.57	25.6	72.75	156.98	138.45	10.93	68.9	-73.99	303.12	24.78	91.06	74.04	30.66	163.66	135.13	92.6	98.37	71.83	7.661	-56.6	-24.29	58.44	61.46	108.87	332.9	24.63	1525.2
0.06	2023-05-16 11:49:03	60.0	139.42	168.06	137.95	144.83	109.26	162.74	78.24	25.92	116.96	121.5	60.81	156.08	148.18	158.05	90.93	148.44	31.14	37.37	109.11	114.56	173.65	106.77	106.38	25.69	73.37	157.29	138.45	9.631	67.8	-74.69	302.23	24.78	90.45	74.44	31.78	163.25	135.02	92.6	97.87	70.73	7.064	-57.0	-24.09	58.25	60.58	109.75	332.51	24.78	1525.2
0.062	2023-05-16 11:49:03	60.0	139.62	167.65	137.24	143.62	108.17	162.74	77.26	25.91	116.34	121.29	61.32	157.4	149.49	157.75	92.03	148.04	30.04	37.47	110.29	113.58	173.65	108.43	105.11	25.67	72.75	156.88	137.34	10.93	68.0	-74.59	303.02	24.8	89.93	74.55	31.28	164.27	135.33	92.4	97.87	70.33	7.263	-56.8	-23.2	58.34	60.97	108.58	334.07	24.69	1525.2
0.064	2023-05-16 11:49:03	60.0	140.03	168.46	137.55	145.83	108.77	162.55	77.36	25.86	117.06	120.68	61.22	158.0	149.19	158.25	91.33	149.04	31.63	37.47	109.5	114.27	173.65	106.38	106.28	25.81	73.47	157.49	137.85	9.932	67.6	-74.29	302.43	24.75	90.24	74.85	29.65	164.27	136.34	92.6	98.47	71.03	7.263	-57.2	-23.69	58.34	62.35	109.85	333.1	24.84	1525.2
0.066	2023-05-16 11:49:03	60.0	139.42	167.96	137.75	143.92	108.77	162.35	78.24	25.96	116.65	122.01	61.22	156.28	149.89	158.25	91.93	150.64	29.74	38.36	109.11	113.78	173.75	107.36	104.43	25.73	72.14	157.49	137.85	9.631	67.4	-75.38	302.83	24.87	90.24	74.96	30.36	162.74	134.82	92.4	99.08	71.23	6.666	-57.0	-23.3	57.16	59.99	107.89	334.07	24.75	1525.2
0.068	2023-05-16 11:49:03	60.0	139.01	168.67	138.66	144.83	109.26	162.94	77.06	25.8	117.06	120.06	61.83	156.18	150.7	158.45	91.73	148.84	31.93	37.86	108.71	113.78	175.61	108.43	104.43	25.78	72.14	156.88	138.45	11.44	67.4	-76.27	302.63	24.73	90.24	74.34	31.48	164.06	134.72	93.41	97.67	71.93	7.86	-57.0	-23.69	58.74	61.56	109.55	334.46	24.87	1525.2
0.07	2023-05-16 11:49:03	60.0	139.62	167.75	138.76	146.03	108.17	161.56	78.24	25.86	116.34	120.37	62.03	155.16	148.88	158.86	91.13	150.24	29.94	38.26	109.3	113.78	174.04	107.36	105.31	25.71	72.14	156.47	138.45	10.53	68.9	-75.18	302.14	24.75	89.93	73.63	32.09	162.84	135.33	92.81	98.17	71.63	7.263	-57.59	-24.29	56.57	60.97	110.24	333.1	24.8	1525.2
0.072	2023-05-16 11:49:03	60.0	139.42	167.85	138.25	145.13	108.67	162.15	76.47	25.93	115.93	122.11	60.81	156.08	149.59	158.25	91.03	147.94	31.24	36.97	109.4	113.97	173.45	107.36	105.02	25.7	72.75	155.66	137.85	11.14	67.1	-74.39	303.02	24.82	89.93	75.26	30.97	163.45	135.23	93.21	99.68	70.63	7.661	-57.79	-23.5	58.25	60.39	108.68	334.26	24.79	1525.2
0.074	2023-05-16 11:49:03	60.0	140.24	167.85	138.36	145.43	109.16	161.75	77.06	25.96	116.65	120.68	61.22	155.97	149.39	158.86	92.13	148.84	30.74	37.57	108.71	114.17	173.75	106.87	105.02	25.64	73.37	156.88	138.55	10.53	67.2	-74.29	302.43	24.87	90.86	74.34	30.46	164.47	134.92	93.21	97.87	72.03	7.163	-57.2	-23.69	57.56	61.95	109.85	333.88	24.73	1525.2
