Time  1 - default sample rate [s]	FS22DI_1_NTP_TIME [s]	FS22DI_1_DIAG_SEQ_NUMBER []	A1 [nm]	A2 [nm]	A3 [nm]	A4 [nm]	A5 [nm]	A6 [nm]	A7 [nm]	AT [°C]	B1 [nm]	B2 [nm]	B3 [nm]	B4 [nm]	B5 [nm]	B6 [nm]	B7 [nm]	B8 [nm]	B9 [nm]	B10 [nm]	B11 [nm]	B12 [nm]	B13 [nm]	B14 [nm]	B15 [nm]	BT [°C]	D1 [nm]	D2 [nm]	D3 [nm]	D4 [nm]	D5 [nm]	D6 [nm]	D7 [nm]	DT [°C]	E1 [nm]	E2 [nm]	E3 [nm]	E4 [nm]	E5 [nm]	E6 [nm]	E7 [nm]	E8 [nm]	E9 [nm]	E10 [nm]	E11 [nm]	E12 [nm]	E13 [nm]	E14 [nm]	E15 [nm]	ET [°C]	TempArmário [nm]
0,04400	1684237743	60,00	139,62	167,85	138,96	144,83	108,17	162,74	77,36	25,88	115,93	120,88	61,42	156,58	149,89	158,05	90,53	150,64	30,24	37,86	108,71	114,56	173,65	106,48	105,21	25,65	72,75	156,68	139,46	9,932	68,40	-74,89	303,22	24,80	90,24	74,65	31,17	163,86	133,41	92,81	98,57	72,13	7,064	-56,40	-24,29	57,75	60,48	108,29	332,32	24,75	1525,2	
0,04600	1684237743	60,00	138,80	168,26	137,45	144,43	110,06	162,94	78,83	25,93	116,65	120,27	61,32	155,97	150,40	158,65	91,93	149,04	30,54	37,47	109,11	114,07	174,24	107,36	104,43	25,83	72,75	157,59	137,85	10,33	67,10	-75,18	302,63	24,85	90,24	73,32	31,28	163,86	134,72	93,41	98,07	71,03	7,561	-56,20	-24,48	56,87	61,56	108,87	334,85	24,85	1525,2	
0,04800	1684237743	60,00	139,21	168,77	138,46	143,82	108,77	162,55	77,36	25,83	116,24	122,01	61,32	156,58	149,69	158,45	91,33	149,14	31,43	37,27	109,11	114,96	174,04	107,16	104,43	25,63	73,47	156,68	138,65	10,33	67,60	-74,49	302,63	24,70	90,04	74,75	30,77	163,66	135,33	92,81	98,87	72,13	6,566	-57,39	-24,58	57,75	61,27	108,87	333,68	24,78	1525,2	
0,05000	1684237743	60,00	139,42	168,46	138,25	143,82	109,07	162,15	77,75	25,96	116,44	121,50	61,22	156,58	149,19	158,05	92,33	148,54	31,73	37,86	108,32	114,66	173,45	108,53	105,79	25,70	73,47	157,90	137,95	10,93	66,80	-73,80	301,25	24,90	89,63	74,34	31,58	163,25	133,91	92,30	98,97	70,23	7,661	-57,00	-23,89	57,95	60,39	109,46	332,90	24,80	1525,2	
0,05200	1684237743	60,00	139,93	166,74	138,15	144,12	109,76	162,15	77,45	25,86	116,65	121,29	60,81	157,19	150,70	157,75	91,33	148,84	31,14	37,86	109,11	114,56	172,67	107,36	104,53	25,75	72,75	155,76	139,06	11,14	67,80	-74,98	303,81	24,78	90,76	74,24	30,77	163,45	134,72	92,40	97,67	71,43	6,865	-57,00	-23,69	57,75	60,78	109,75	332,90	24,78	1525,2	
0,05400	1684237743	60,00	140,03	168,46	138,46	146,13	109,66	162,45	78,24	25,88	116,65	121,09	62,03	155,47	149,39	158,25	91,83	148,54	30,74	37,67	109,50	113,97	174,04	108,14	104,82	25,73	72,75	156,58	139,06	11,84	67,20	-75,18	302,83	24,83	90,14	73,93	30,05	164,06	133,91	92,60	98,87	70,63	8,357	-57,79	-23,69	58,15	60,97	108,68	334,07	24,68	1525,2	
0,05600	1684237743	60,00	139,62	167,65	138,56	145,43	108,17	162,74	78,04	25,92	117,98	120,58	61,42	156,68	149,19	158,05	91,13	149,64	30,74	37,27	109,11	114,27	174,82	107,36	104,43	25,65	72,14	156,88	138,45	10,53	66,80	-75,58	302,92	24,78	90,76	74,04	30,97	163,76	135,02	93,21	98,97	70,83	7,362	-57,20	-23,99	58,34	60,39	109,36	333,49	24,75	1525,2	
0,05800	1684237743	60,00	139,62	169,18	138,66	143,62	108,37	162,15	76,67	25,87	117,06	120,27	61,42	155,97	149,59	158,05	92,73	148,24	31,43	38,06	108,91	114,96	174,04	107,94	106,57	25,60	72,75	156,98	138,45	10,93	68,90	-73,99	303,12	24,78	91,06	74,04	30,66	163,66	135,13	92,60	98,37	71,83	7,661	-56,60	-24,29	58,44	61,46	108,87	332,90	24,63	1525,2	
0,06000	1684237743	60,00	139,42	168,06	137,95	144,83	109,26	162,74	78,24	25,92	116,96	121,50	60,81	156,08	148,18	158,05	90,93	148,44	31,14	37,37	109,11	114,56	173,65	106,77	106,38	25,69	73,37	157,29	138,45	9,631	67,80	-74,69	302,23	24,78	90,45	74,44	31,78	163,25	135,02	92,60	97,87	70,73	7,064	-57,00	-24,09	58,25	60,58	109,75	332,51	24,78	1525,2	
0,06200	1684237743	60,00	139,62	167,65	137,24	143,62	108,17	162,74	77,26	25,91	116,34	121,29	61,32	157,40	149,49	157,75	92,03	148,04	30,04	37,47	110,29	113,58	173,65	108,43	105,11	25,67	72,75	156,88	137,34	10,93	68,00	-74,59	303,02	24,80	89,93	74,55	31,28	164,27	135,33	92,40	97,87	70,33	7,263	-56,80	-23,20	58,34	60,97	108,58	334,07	24,69	1525,2	
0,06400	1684237743	60,00	140,03	168,46	137,55	145,83	108,77	162,55	77,36	25,86	117,06	120,68	61,22	158,00	149,19	158,25	91,33	149,04	31,63	37,47	109,50	114,27	173,65	106,38	106,28	25,81	73,47	157,49	137,85	9,932	67,60	-74,29	302,43	24,75	90,24	74,85	29,65	164,27	136,34	92,60	98,47	71,03	7,263	-57,20	-23,69	58,34	62,35	109,85	333,10	24,84	1525,2	
0,06600	1684237743	60,00	139,42	167,96	137,75	143,92	108,77	162,35	78,24	25,96	116,65	122,01	61,22	156,28	149,89	158,25	91,93	150,64	29,74	38,36	109,11	113,78	173,75	107,36	104,43	25,73	72,14	157,49	137,85	9,631	67,40	-75,38	302,83	24,87	90,24	74,96	30,36	162,74	134,82	92,40	99,08	71,23	6,666	-57,00	-23,30	57,16	59,99	107,89	334,07	24,75	1525,2	
